name,style,malay_title,title_thai,zn,malay_prompt,thai_prompt,cn_prompt
1,style2,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,1.你好，测试字幕中文功能！,"Ragu-ragu sampai jadi gelisah? Penawaran ini lebih sukar diterima daripada sambungan WiFi yang stabil, jangan sampai kehabisan sebelum kau ambil—cepat, cepat!""",สบู่ล้างหน้านี้มีประสิทธิภาพในการล้างฝุ่น น้ำมันเกินและสารตกค้างจากเครื่องสำอางอย่างอ่อนโยง ไม่ทำให้ผิวแห้งเพิ่มความชื้น ขับใช้ได้กับทุกประเภทผิว ใช้ทุกวันเพื่อให้ผิวหน้าสะอาดและสดชื่น!,1111这款洗面奶能有效温和清洁灰尘、多余油脂与化妆品残留，不会导致肌肤干燥，反而能补充水分，适合所有肤质。每天使用，让肌肤清爽洁净！
2,style1,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,2.你好，测试字幕中文功能！,"""Dompet belum penuh, kelebihan istimewa sudah meluncur! Tak mengambilnya seperti meninggalkan duit di lantai, cepat gerak sebelum hilang～""",สบู่ล้างหน้านี้อุดมไปด้วยสารสกัดจากธรรมชาติ สามารถล้างรูขุมขนได้โดยไม่ทำให้เกิดการระคายเคือง หลังใช้ผิวยังคงอ่อนโยงและไม่คัน ตอบโจทย์ผิวที่อ่อนไหวมาก ทุกวันใช้สองครั้งเพื่อได้ผลลัพธ์ดีที่สุด!,2222这款洗面奶富含天然提取物，能够清洁毛孔且不引发刺激。使用后，肌肤依旧温和不发痒，非常适合敏感肌。每天使用两次，以获得最佳效果
3,style1,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,3.你好，测试字幕中文功能！,"""Kira salah jumlah? Tak mengapa! Berbaloi sampai ketawa terbahak-bahak, barang bagus dengan harga yang buat hati riang—simpan sekarang, jangan lewat!""",ด้วยสูตรที่มีเนื้อสัมผัสเบา สบู่ล้างหน้านี้สามารถซึมเข้าไปได้ง่ายเพื่อล้างสารอันตรายที่ซึมอยู่ลึกในผิว ไม่ทิ้งสารตกค้างที่เหนียวให้ความรู้สึกสดชื่นตลอดวัน ขับใช้ได้กับทุกอายุและประเภทผิวในชีวิตประจำวัน!,3333这款洗面奶采用质地轻盈的配方，易渗透肌肤，可清除深层污垢。它不会留下黏腻残留物，还能带来全天清爽的感觉，适合日常使用，适配所有年龄段与肤质！
M9-hoig_003_attr1_subject,style4,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,"""Ragu-ragu sampai bateri habis sepenuhnya? Harga ini lebih penting daripada charger darurat, cepat beli sebelum stok hilang dalam sekejap!""",น้ำหอมอารมณ์สดชื่น สดชื่น，กลิ่นส้มสีทองหอมหวานผสม ，กลิ่นยั่งยืนจนสิ้นสุดวัน ไม่จัดจ้านอันตราย，ใช้ทุกวันได้ทุกโอกาส，ขับรักอารมณ์ดี,
M10-mosh_001_attr1_subject,style1,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,,"""Wang simpanan belum bertambah banyak, faedah luar biasa sudah tiba! Tak ambilnya seperti kehilangan kupon emas, cepat-cepat jangan lambat～""",,
M3-morri_003_attr1_subject,style2,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,"""Boss salah kira barang? Tak kisah! Murah sampai terpijak kaki dengan gembira, barang baru dengan harga yang buat terus nak beli—ambil sekarang!""",,
M3-morri_005_attr1_subject,style5,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!😐,,"""Ragu-ragu sampai jaringan tersekat parah? Penawaran ini lebih sukar ditemui daripada isyarat di tempat terpencil, laju sebelum hilang forever!""",,
M9-hoig_001_attr1_subject,style5,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,"""Baki bank belum naik, diskaun menarik sudah turun drastik! Tidak membeli seperti terlepas peluang emas, cepat ambil sebelum harga kembali～""",,
M5-king_003_attr1_subject,style4,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,"""Gudang salah kira stok? Tak mengapa! Berbaloi sampai berpusing-pusing dengan gembira, barang banyak dengan nilai yang melebihi jangkaan—simpan sekarang!""",,
M6-flem_003_attr1_subject,style1,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,,"""Ragu-ragu sampai kepala panas terik? Harga ini lebih menyegarkan daripada minuman ais segar, cepat beli sebelum promo tamat hari ini!""",,
